"ESPCOD","CIENTIFICO","APHIAID","AL3","ESPSIRENO"
"10717","Scorpaena scrofa","127248","RSE","Scorpaena scrofa"
"10637","Scorpaenoidei","154247","XSX","Scorpaeniformes"
"10022","Scyliorhinus canicula","105814","SYC","Scyliorhinus canicula"
"10021","Scyliorhinus stellaris","105815","SYT","Scyliorhinus stellaris"
"10051","Scymnodon ringens","105918","SYR","Scymnodon ringens"
"10713","Sebastes mentella","127254","REB","Sebastes mentella"
"30156","Sepia","138477","","Sepia"
"30160","Rhombosepion elegans","1667162","EJE","Sepia elegans"
"30159","Sepia officinalis","141444","CTC","Sepia officinalis"
"30161","Rhombosepion orbignyanum","1667212","IAR","Sepia orbignyana"
"30154","Sepiidae","11723","","Sepiidae"
"30158","Sepiola","138483","","Sepiola"
"10431","Seriola dumerili","126816","AMB","Seriola dumerili"
"10430","Seriola rivoliana","126818","YTL","Seriola rivoliana"
"10373","Serranidae","125561","BSX","Serranidae"
"10390","Serranus","126070","","Serranus"
"10391","Serranus cabrilla","127041","CBR","Serranus cabrilla"
"10394","Serranus hepatus","127042","SRJ","Serranus hepatus"
"50042","Sipunculidae","1648","","Sipunculidae"
"10776","Solea senegalensis","127159","OAL","Solea senegalensis"
"11168","Solea solea","127160","SOL","Solea solea"
"20123","Solenocera membranacea","107120","SKM","Solenocera membranacea"
"10484","Sparidae","125564","SBX","Sparidae"
"10519","Sparus aurata","151523","SBG","Sparus aurata"
"10989","Sphoeroides pachygaster","127417","TSP","Sphoeroides pachygaster"
"10330","Sphyraena sphyraena","127068","YRS","Sphyraena sphyraena"
"10535","Spicara","125949","","Spicara"
"12822","Spicara flexuosum","1577318","","Spicara flexuosa"
"10537","Spicara maena","126828","BPI","Spicara maena"
"10538","Spicara smaris","126830","SPC","Spicara smaris"
"10507","Spondyliosoma cantharus","127066","BRB","Spondyliosoma cantharus"
"10056","Squalus acanthias","105923","DGS","Squalus acanthias"
"10054","Squalus blainville","105924","QUB","Squalus blainville"
"20013","Squilla mantis","136137","MTS","Squilla mantis"
"40035","Stichopus","123459","","Stichopus"
"10675","Stromateus fiatola","127076","BLB","Stromateus fiatola"
"10560","Symphodus cinereus","273567","YFC","Symphodus cinereus"
"10569","Symphodus melops","273571","YFM","Symphodus melops"
"11116","Symphodus","126023","YFX","Symphodus spp"
"10780","Synapturichthys kleinii","236492","KSY","Synapturichthys kleinii"
"11208","Synchiropus phaeton","126798","TWB","Synchiropus phaeton"
"10660","Thunnus alalunga","127026","ALB","Thunnus alalunga"
"30179","Todarodes","138281","","Todarodes"
"30181","Todarodes sagittatus","140624","SQE","Todarodes sagittatus"
"30170","Todaropsis eblanae","140625","TDQ","Todaropsis eblanae"
"30061","Tonna galea","141687","TOQ","Tonna galea"
"10113","Torpedo marmorata","271684","TTR","Torpedo marmorata"
"10112","Torpedo torpedo","271691","TTV","Torpedo torpedo"
"10577","Trachinidae","125570","TRA","Trachinidae"
"10426","Trachinotus ovatus","126819","POP","Trachinotus ovatus"
"10579","Trachinus draco","127082","WEG","Trachinus draco"
"10413","Trachurus","125946","","Trachurus"
"10416","Trachurus mediterraneus","126820","HMM","Trachurus mediterraneus"
"10415","Trachurus picturatus","126821","JAA","Trachurus picturatus"
"10250","Antimora rostrata","126486","ANT","Antimora rostrata"
"10286","Merluccius bilinearis","158962","HKS","Merluccius bilinearis"
"10304","Macrourus berglax","126472","RHG","Macrourus berglax"
"10711","Sebastes","126175","RED","Sebastes spp"
"10761","Hippoglossus hippoglossus","127138","HAL","Hippoglossus hippoglossus"
"10903","Centroscyllium fabricii","105906","CFB","Centroscyllium fabricii"
"10952","Lophius americanus","159184","ANG","Lophius americanus"
"10979","Amblyraja radiata","105865","RJR","Amblyraja radiata"
"10987","Somniosus microcephalus","105919","GSK","Somniosus microcephalus"
"11465","Urophycis chuss","126503","HKR","Urophycis chuss"
"11517","Urophycis tenuis","126504","HKW","Urophycis tenuis"
"11527","Phycis chesteri","158988","GPE","Phycis chesteri"
"11529","Nezumia bairdii","183289","NZB","Nezumia bairdi"
"12278","Malacoraja senta","158554","RJS","Malacoraja senta"
"20094","Pandalus borealis","107649","PRA","Pandalus borealis"
"20530","Neolithodes grimaldii","107206","","Neolithodes grimaldi"
"20769","Lithodes maja","107205","KCT","Lithodes maja"
"23001","Pycnogonida","1302","PWJ","Pycnogonida"
"60500","Scyphozoa","135220","SZY","Scyphozoa"
"60528","Actiniaria","1360","ATX","Actiniaria"
"60864","Pennatuloidea","1609360","NTW","Pennatulacea"
"10245","Gadiformes","10313","GAD","Gadiformes"
"10607","Lycodes","126104","ELZ","Lycodes spp"
"10766","Myzopsetta ferruginea","1571969","YEL","Limanda ferruginea"
"10918","Cottunculus thomsonii","127237","","Cottunculus thomsoni"
"10937","Gaidropsarus ensis","126453","GDE","Gaidropsarus ensis"
"10963","Notacanthus chemnitzii","126643","NNN","Notacanthus chemnitzii"
"40044","Echinoidea","123082","URX","Echinoidea"
"10836","Elasmobranchii","10193","SKX","Elasmobranchii"
"30191","Eledone","138267","","Eledone"
"30142","Cephalopoda","11707","CEP","Cephalopoda"
"10011","Alopias superciliosus","105835","BTH","Alopias superciliosus"
"10018","Galeus","105728","GAU","Galeus spp"
"10048","Squaliformes","10211","SHX","Squaliformes"
"10063","Dalatias licha","105910","SCK","Dalatias licha"
"10079","Rostroraja alba","105896","RJA","Rostroraja alba"
"10171","Argentina","125885","ARG","Argentina spp"
"10259","Molva dypterygia","126459","BLI","Molva dypterygia"
"10599","Blennius ocellaris","126761","NUO","Blennius ocellaris"
"10662","Thunnus albacares","127027","YFT","Thunnus albacares"
"10860","Deania","105771","DNA","Deania spp"
"10904","Centroselachus crepidater","280071","CYP","Centroscymnus crepidater"
"10956","Coelorinchus","268809","CWX","Coelorinchus spp"
"11003","Sternoptychidae","125603","HAF","Sternoptychidae"
"11139","Carcharhinus signatus","105798","CCS","Carcharhinus signatus"
"13642","Clevelandia ios","280215","CVO","Clevelandia ios"
"80009","Globicephala melas","137097","PIW","Globicephala melas"
"80015","Phocoena phocoena","137117","PHR","Phocoena phocoena"
"80056","Larus cachinnans","137140","","Larus cachinnas"
"80067","Puffinus mauretanicus","445503","UIM","Puffinus mauretanicus"
"80068","Morus bassanus","148776","MVB","Morus bassanus"
"80073","Larus marinus","137146","LVU","Larus marinus"
"10005","Heptranchias perlo","105832","HXT","Heptranchias perlo"
"10041","Mustelus punctulatus","105823","MPT","Mustelus punctulatus"
"10103","Dasyatis pastinaca","105851","JDP","Dasyatis pastinaca"
"10882","Gymnura","105754","RBY","Gymnura spp"
"13639","Potamotrygon histrix","1495472","PPY","Potamotrygon histrix"
"80061","Hydrobates pelagicus","137189","DAZ","Hydrobates pelagicus"
"10052","Squalidae","105716","DGX","Squalidae"
"10081","Raja polystigma","105888","JAY","Raja polystigma"
"10110","Tetronarce nobiliana","321911","TTO","Tetronarce nobiliana "
"10111","Torpedo","826639","TOE","Torpedo spp"
"10150","Harengula","204605","SAS","Harengula spp"
"10181","Argyropelecus hemigymnus","127309","QRC","Argyropelecus hemigymnus"
"10631","Ruvettus pretiosus","126867","OIL","Ruvettus pretiosus"
"10771","Bathysolea profundicola","127152","YMW","Bathysolea profundicola"
"10819","Lophiidae","125493","ANF","Lophiidae"
"10834","Lampris guttatus","126522","LAG","Lampris guttatus"
"10841","Chimaeriformes","10217","HOL","Chimaeriformes"
"10886","Alepocephalus","125868","ALH","Alepocephalus spp"
"10944","Hydrolagus mirabilis","105826","CYH","Hydrolagus mirabilis"
"10965","Oxynotus paradoxus","105915","OXN","Oxynotus paradoxus"
"11031","Callionymidae","125522","","Callionymidae"
"11121","Hydrolagus","105734","HYD","Hydrolagus spp"
"11130","Ginglymostoma cirratum","105846","GNC","Ginglymostoma cirratum"
"11620","Coelorinchus labiatus","280299","CQV","Coelorinchus labiatus"
"12330","Entelurus aequoreus","127379","ENQ","Entelurus aequoreus"
"12751","Sebastes viviparus","127255","SFV","Sebastes viviparus"
"13638","Trachinotus anak","273288","TCK","Trachinotus anak"
"13641","Dipturus macrocauda","271553","JRC","Dipturus macrocauda"
"13643","Citharinops distichodoides","1017003","CND","Citharinops distichodoides"
"80013","Tursiops truncatus","137111","DBO","Tursiops truncatus"
"80028","Delphinidae","136980","DLP","Delphinidae"
"10007","Cetorhinus maximus","105837","BSK","Cetorhinus maximus"
"10016","Scyliorhinidae","105693","SYX","Scyliorhinidae"
"10030","Carcharhinus falciformis","105789","FAL","Carcharhinus falciformis"
"10632","Trichiuridae","125571","CUT","Trichiuridae"
"10906","Macrouridae","125471","RTX","Macrouridae"
"30111","Acanthocardia echinata","138992","AKJ","Acanthocardia echinata"
"30384","Acanthocardia","137732","KHB","Acanthocardia spp"
"30163","Alloteuthis subulata","153131","OUL","Alloteuthis subulata"
"60996","Anemonia sulcata","231858","NOW","Anemonia sulcata"
"60100","Aplidium pallidum","103658","","Aplidium pallidum"
"30062","Aporrhais pespelecani","138760","","Aporrhais pespelicani"
"10179","Argyropelecus gigas","127308","QRB","Argyropelecus gigas"
"31099","Bathypolypus ergasticus","527146","","Bathypolypus ergasticus"
"20150","Cancer bellianus","107275","KCB","Cancer bellianus"
"10680","Centrolophus niger","126831","CEO","Centrolophus niger"
"30115","Cerastoderma edule","138998","COC","Cerastoderma edule"
"30065","Cymbium olla","141965","YBO","Cymbium olla"
"10233","Exocoetidae","125452","FLY","Exocoetidae"
"20174","Liocarcinus holsatus","107388","IJW","Liocarcinus holsatus"
"10336","Chelon","126030","LZZ","Liza spp"
"21764","Maja brachydactyla","107347","JDV","Maja brachydactyla"
"10790","Microchirus ocellatus","274302","MRK","Microchirus ocellatus"
"20014","Parapaguridae","106739","","Parapaguridae"
"60629","Pennatulidae","128484","","Pennatulidae"
"20086","Plesionika martia","107661","LKT","Plesionika martia"
"20158","Portunidae","106763","SWM","Portunidae"
"10482","Pseudotolithus senegalensis","127008","PSS","Pseudotolithus senegalensis"
"10246","Raniceps raninus","126442","RCR","Raniceps raninus"
"10392","Serranus scriba","127043","SRK","Serranus scriba"
"11229","Symphodus doderleini","273568","","Symphodus doderleini"
"10578","Trachinus","126094","WEX","Trachinus spp"
"11246","Zeugopterus punctatus","127151","ZGP","Zeugopterus punctatus"
"30110","Acanthocardia aculeata","138990","AKK","Acanthocardia aculeata"
"10010","Alopias vulpinus","105836","ALV","Alopias vulpinus"
"20033","Alpheidae","106776","","Alpheidae"
"50018","Aphrodita aculeata","129840","AKW","Aphrodita aculeata"
"10755","Arnoglossus rueppelii","127127","QFE","Arnoglossus rueppelii"
"20164","Callinectes sapidus","107379","CRB","Callinectes sapidus"
"10920","Deania profundorum","105905","SDU","Deania profundorum"
"10500","Dentex macrophthalmus","273965","DEL","Dentex macrophthalmus"
"40097","Echinidae","123160","UKE","Echinidae"
"10933","Facciolella oxyrhynchus","126307","NHF","Facciolella oxyrhyncha"
"10006","Hexanchus griseus","105833","SBL","Hexanchus griseus"
"11493","Limanda","126117","YEX","Limanda spp"
"20154","Macropipus tuberculatus","107397","MQL","Macropipus tuberculatus"
"20222","Macropodia tenuirostris","107346","","Macropodia longipes"
"10045","Mustelus asterias","105821","SDS","Mustelus asterias"
"10183","Myctophidae","125498","LXX","Myctophidae"
"10190","Notoscopelus kroyeri","272728","","Notoscopelus kroeyeri"
"40048","Paracentrotus lividus","124316","URM","Paracentrotus lividus"
"20047","Pasiphaea sivado","107677","FAV","Pasiphaea sivado"
"30666","Peracle elata","606299","","Peracle triacantha"
"20607","Pilumnus spinifer","107420","","Pilumnus spinifer"
"20090","Plesionika edwardsii","107656","LKW","Plesionika edwardsii"
"20116","Pontophilus spinosus","107564","OFI","Pontophilus spinosus"
"20180","Scyllarus arctus","107709","SCY","Scyllarus arctus"
"11152","Scymnodon","105778","QUX","Scymnodon spp"
"10991","Synaphobranchus kaupii","126328","SSK","Synaphobranchus kaupii"
"10772","Dagetichthys lusitanicus","403345","","Synaptura lusitanica"
"30125","Venus verrucosa","141936","VEV","Venus verrucosa"
"10554","Acantholabrus palloni","126957","AKL","Acantholabrus palloni"
"60010","Actinauge richardi","100930","KKL","Actinauge richardi"
"11000","Actinopterygii","10194","","Actinopterygii"
"30165","Alloteuthis","138138","","Alloteuthis"
"30162","Alloteuthis media","153134","OUM","Alloteuthis media"
"10135","Alosa","125715","","Alosa"
"10137","Alosa alosa","126413","ASD","Alosa alosa"
"10138","Alosa fallax","126415","TSD","Alosa fallax"
"20017","Alpheus glaber","107477","FEL","Alpheus glaber"
"10615","Ammodytes","125909","SAN","Ammodytes spp"
"10616","Ammodytes tobianus","126752","ABZ","Ammodytes tobianus"
"10891","Anarhichas denticulatus","126757","CAB","Anarhichas denticulatus"
"10892","Anarhichas lupus","126758","CAA","Anarhichas lupus"
"10605","Anarhichas minor","126759","CAS","Anarhichas minor"
"10604","Anarhichas","125912","CAT","Anarhichas spp"
"10206","Anguilla anguilla","126281","ELE","Anguilla anguilla"
"50001","Animalia","2","","Animalia"
"00023","Annelida","882","NHE","Annelida"
"10635","Aphanopus carbo","127085","BSF","Aphanopus carbo"
"10696","Aphia minuta","126868","FIM","Aphia minuta"
"10172","Argentina silus","126715","ARU","Argentina silus"
"10173","Argentina sphyraena","126716","ARY","Argentina sphyraena"
"10474","Argyrosomus regius","127007","MGR","Argyrosomus regius"
"20072","Aristaeomorpha foliacea","158326","ARS","Aristaeomorpha foliacea"
"20075","Aristeus antennatus","107083","ARA","Aristeus antennatus"
"10753","Arnoglossus","126109","","Arnoglossus"
"10758","Arnoglossus imperialis","127124","RLI","Arnoglossus imperialis"
"10754","Arnoglossus laterna","127126","MSF","Arnoglossus laterna"
"60143","Ascidia","103483","","Ascidia"
"40119","Asteriidae","123121","","Asteriidae"
"40041","Asteroidea","123080","STF","Asteroidea"
"40052","Astropecten","123245","","Astropecten"
"40010","Astropecten irregularis","123867","AVC","Astropecten irregularis"
"40060","Astropecten spinulosus","123878","","Astropecten spinulosus"
"20149","Atelecyclus undecimdentatus","107274","","Atelecyclus undecimdentatus"
"10342","Atherina presbyter","272030","ATP","Atherina presbyter"
"60862","Atollidae","135229","","Atollidae"
"30097","Atrina fragilis","146524","TQF","Atrina fragilis"
"11165","Auxis","126057","","Auxis"
"10654","Auxis rochei","127015","","Auxis rochei rochei"
"10806","Balistes capriscus","154721","","Balistes capriscus"
"30196","Bathypolypus sponsalis","140598","YYS","Bathypolypus sponsalis"
"10225","Belone belone","126375","GAR","Belone belone"
"11498","Benthodesmus elongatus","127086","BDL","Benthodesmus elongatus"
"11216","Benthosema glaciale","126580","BHG","Benthosema glaciale"
"10313","Beryx","125700","","Beryx"
"10314","Beryx decadactylus","126394","BXD","Beryx decadactylus"
"10315","Beryx splendens","126395","BYS","Beryx splendens"
"30216","Bivalvia","105","CLX","Bivalvia"
"30081","Bolinus brandaris","140389","BOY","Bolinus brandaris"
"10522","Boops boops","127047","BOG","Boops boops"
"20534","Brachyura","106673","CRA","Brachyura"
"10441","Brama brama","126783","POA","Brama brama"
"00026","Bryozoa","146142","BZN","Bryozoa"
"20229","Calappa granulata","107268","KPG","Calappa granulata"
"11194","Callionymus","125930","","Callionymus"
"10617","Callionymus lyra","126792","LYY","Callionymus lyra"
"20152","Cancer pagurus","107276","CRE","Cancer pagurus"
"10323","Capros aper","127419","BOC","Capros aper"
"10423","Caranx rhonchus","126806","HMY","Caranx rhonchus"
"10059","Centrophorus granulosus","105899","GUP","Centrophorus granulosus"
"10060","Centrophorus squamosus","105901","GUQ","Centrophorus squamosus"
"10826","Cepola macrophthalma","126835","CBC","Cepola macrophthalma"
"30124","Chamelea gallina","141907","SVE","Chamelea gallina"
"30198","Charonia lampas","141101","KRJ","Charonia lampas"
"10730","Chelidonichthys","126178","","Chelidonichthys"
"11173","Chelidonichthys cuculus","127259","","Chelidonichthys cuculus"
"10725","Chelidonichthys lastoviza","127261","CTZ","Chelidonichthys lastoviza"
"10731","Chelidonichthys lucerna","127262","GUU","Chelidonichthys lucerna"
"10739","Chelidonichthys obscurus","127263","GUM","Chelidonichthys obscurus"
"10331","Chelon labrosus","126977","MLR","Chelon labrosus"
"10114","Chimaera monstrosa","105824","CMO","Chimaera monstrosa"
"11249","Ciliata mustela","126448","LCM","Ciliata mustela"
"10804","Citharus linguatula","127130","CIL","Citharus linguatula"
"10134","Clupea harengus","126417","HER","Clupea harengus"
"00002","Cnidaria","1267","CNI","Cnidaria"
"10301","Coelorinchus caelorhincus","398381","CQL","Coelorinchus caelorhincus"
"10220","Conger conger","126285","COE","Conger conger"
"30200","Coralliophila","137837","","Coralliophila"
"10557","Coris julis","126963","COU","Coris julis"
"10305","Coryphaenoides rupestris","158960","RNG","Coryphaenoides rupestris"
"40083","Crinoidea","123081","CWD","Crinoidea"
"20000","Crustacea","1066","CRU","Crustacea"
"30285","Cymatiidae","196332","","Cymatiidae"
"30053","Monoplex corrugatus","476518","KMO","Cymatium corrugatum"
"30510","Cymbuliidae","23019","","Cymbuliidae"
"11693","Cynoscion regalis","159313","STG","Cynoscion regalis"
"10827","Cyttopsis rosea","127425","ZCD","Cyttopsis rosea"
"20595","Dardanus arrosor","107197","","Dardanus arrosor"
"10050","Deania calceus","298167","DCA","Deania calcea"
"10693","Deltentosteus quadrimaculatus","126880","DEQ","Deltentosteus quadrimaculatus"
"60839","Dendrophyllia","135110","","Dendrophyllia"
"60080","Dendrophyllia cornigera","135185","","Dendrophyllia cornigera"
"10498","Dentex","126075","","Dentex"
"10501","Dentex canariensis","273960","DEN","Dentex canariensis"
"10502","Dentex dentex","273962","DEC","Dentex dentex"
"10499","Dentex gibbosus","273964","DEP","Dentex gibbosus"
"10398","Dicentrarchus labrax","126975","BSS","Dicentrarchus labrax"
"10397","Dicentrarchus punctatus","126976","SPU","Dicentrarchus punctatus"
"20078","Dichelopandalus bonnieri","107643","DKB","Dichelopandalus bonnieri"
"10783","Dicologlossa cuneata","127154","CET","Dicologlossa cuneata"
"10492","Diplodus","126076","","Diplodus"
"10493","Diplodus annularis","127049","ANN","Diplodus annularis"
