"ESPCOD","CIENTIFICO","APHIAID","AL3","ESPSIRENO"
"21395","Benthoecetes bartletti","1391796","","Benthesicymus bartletti"
"21426","Stereomastis sculpta","107700","SJT","Stereomastis sculpta"
"22000","Cirripedia","1082","","Cirripedia"
"30372","Mytilus","138228","MYV","Mytilus spp"
"30627","Opisthoteuthis","138294","QBX","Opisthoteuthis spp"
"30679","Oegopsida","11730","","Oegopsida"
"30908","Cirroteuthis","153091","","Cirroteuthis spp"
"30982","Graneledone verrucosa","157019","","Graneledone verrucosa"
"40085","Timoclea ovata","141929","OWP","Ophiuroidea"
"50349","Aphrodita","129194","","Aphrodita spp"
"50601",NA,NA,"","Turbellaria"
"60002","Ascidiacea","1839","SSX","Ascidiacea"
"60272","Hydrozoa","1337","HQZ","Hydrozoa"
"60915","Octocorallia","1341","AJZ","Alcyonacea"
"61028","Ceriantharia","1361","","Ceriantharia"
"00016","Priapulida","101063","","Priapulida"
"10049","Centroscymnus coelolepis","105907","CYO","Centroscymnus coelolepis"
"10907","Chauliodus sloani","127338","CDN","Chauliodus sloani"
"11463","Anoplogaster cornuta","126393","AGW","Anoplogaster cornuta"
"11832","Malacosteus niger","127358","MCN","Malacosteus niger"
"11951","Alepocephalus agassizii","126681","","Alepocephalus agassizi"
"12843","Zoarces americanus","159267","","Zoarces americanus"
"20028","Caridea","106674","","Caridea"
"20529","Hyas araneus","107322","MVD","Hyas araneus"
"21336","Sabinea hystrix","107565","","Sabinea hystrix"
"30183","Octopodidae","11782","OCT","Octopodidae"
"30193","Opisthoteuthis agassizii","140652","","Opisthoteuthis agassizii"
"30201","Colus","137704","","Colus spp"
"30215","Bathypolypus","138265","","Bathypolypus spp"
"40009","Alloteuthis subulata","153131","AVZ","Asteronyx loveni"
"40014","Euspira fusca","140529","","Phormosoma placenta"
"40234","Epitonium turtonis","139738","","Zoroaster fulgens"
"40242","Mediaster bairdi bairdi","125213","","Mediaster bairdi bairdi"
"40248","Bathybiaster vexillifer","123881","","Bathybiaster vexillifer"
"40251","Hippasteria phrygiana","124043","","Hippasteria phrygiana phrygiana"
